energy,coherent_scatter,incoherent_scatter,photoel_abs,nuclear_pair_prod ,electron_pair_prod,total 
5.000E+03,4.237E-08,2.272E-02,2.850E-04,4.012E+01,5.908E-01,4.073E+01
6.000E+03,2.942E-08,1.927E-02,2.375E-04,4.019E+01,5.926E-01,4.080E+01
8.000E+03,1.655E-08,1.484E-02,1.781E-04,4.028E+01,5.951E-01,4.089E+01
1.000E+04,1.059E-08,1.212E-02,1.425E-04,4.034E+01,5.967E-01,4.095E+01
1.500E+04,4.708E-09,8.376E-03,9.497E-05,4.042E+01,5.988E-01,4.103E+01
2.000E+04,2.648E-09,6.440E-03,7.123E-05,4.047E+01,6.001E-01,4.108E+01
3.000E+04,1.177E-09,4.441E-03,4.748E-05,4.051E+01,6.013E-01,4.112E+01
4.000E+04,6.620E-10,3.409E-03,3.561E-05,4.053E+01,6.020E-01,4.114E+01
5.000E+04,4.237E-10,2.776E-03,2.849E-05,4.055E+01,6.025E-01,4.116E+01
6.000E+04,2.942E-10,2.347E-03,2.374E-05,4.056E+01,6.028E-01,4.117E+01
8.000E+04,1.655E-10,1.800E-03,1.780E-05,4.057E+01,6.031E-01,4.117E+01
1.000E+05,1.059E-10,1.464E-03,1.424E-05,4.058E+01,6.033E-01,4.118E+01
